scene,phase,start_s,end_s,voiceover_de,on_screen_text,screenshot_asset,notes
1,Intro,0,10,"zgpm.aegira.ai — zielgefuehrtes generatives Projekt Management. Damit planen wir methodisch konsistente Agenten-Harnesse fuer Apps, Features, IT-Produkte und Prototypen — und setzen sie um. In drei Phasen: Planung, Prototyp, Product.","zgpm.aegira.ai / Planung -> Prototyp -> Product",assets/logo/aegira_zgpm_lockup_on_navy.png,"Intro/Logo auf Navy; intern"
2,Planung,10,18,"Alles beginnt im Projekt-Dashboard: ein Ueberblick ueber alle Vorhaben mit Status und Gates.","Projekt-Dashboard",assets/screenshots/01_projekte.png,"Ken-Burns leichter Zoom"
3,Planung,18,26,"Phase Planung. Schritt eins: Du beschreibst dein Vorhaben formlos — keine Fachbegriffe noetig.","Schritt 1 · Beschreiben",assets/screenshots/02_beschreiben.png,
4,Planung,26,36,"Im Schaerfungs-Interview greift das System dein Gesagtes auf und klaert Ziel und Art — eine Frage nach der anderen.","Schritt 2 · Schaerfungs-Interview",assets/screenshots/03_interview.png,
5,Planung,36,46,"Du legst Projektart, Zielplattform und Kernaussage fest. Mit Gate 1 wird das Verstaendnis verbindlich eingefroren.","Schritt 3 · Verstaendnis · Gate 1",assets/screenshots/04_verstaendnis.png,
6,Planung,46,54,"Die Leitplanken stecken den erlaubten Rahmen ab — verbotene Praktiken blockieren die Planung.","Schritt 5 · Leitplanken",assets/screenshots/05_leitplanken.png,
7,Planung,54,62,"Dann bestaetigst du die Meilensteine — die Zielzustaende deines Projekts.","Schritt 6A · Meilensteine",assets/screenshots/06_meilensteine.png,
8,Planung,62,80,"Daraus entsteht ein methodisch konsistenter Plan: Meilensteine, Verantwortlichkeiten als RACI, Risiken mit Ampel — plus Gantt, Risiko-Heatmap und Token-Budget.","Schritt 6 · Plan (RACI · Risiko · Token)",assets/screenshots/07_plan.png,"Sequenz: 07_plan -> 08_plan_gantt_raci -> 09_plan_heatmap_token (je ~6s)"
9,Planung,80,90,"Du pruefst, schaerfst und gibst mit Gate 2 die Bauvorlage frei.","Schritt 7 · Review & Freigabe (Gate 2)",assets/screenshots/10_review.png,
10,Prototyp,90,102,"Phase Prototyp. Aus dem Plan wird ein lauffaehiges Agententeam — Orchestrator, Worker, Reviewer und Human-in-the-Loop — mit Reifegrad-Stufe und Orchestrierungs-Modus.","Schritt 8 · Agent-Harness",assets/screenshots/11_harness.png,
11,Prototyp,102,114,"Im interaktiven Canvas siehst und steuerst du den Agenten-Flow ueber die Stages. Ein Architektur-Check flaggt Anti-Muster.","Interaktiver Agenten-Flow",assets/screenshots/12_agenten_flow.png,"Vollbild-Canvas; ggf. leichter Pan"
12,Product,114,126,"Phase Product. Mit Gate 3 frierst du den Harness ein und exportierst ein signiertes Zip — startklar fuer Claude Code oder Cowork.","Export · Gate 3 · signiertes Zip",assets/screenshots/13_export.png,
13,Product,126,136,"Und du druckst den vollstaendigen Projekt-Report als PDF — audit-tauglich fuer Freigabe und Ablage.","Ausdruck · Projekt-Report (PDF)",assets/screenshots/14_ausdruck.png,
14,Outro,136,148,"Planung, Prototyp, Product — methodisch konsistent, nachvollziehbar, audit-ready. zgpm.aegira.ai.","zgpm.aegira.ai · audit-ready",assets/logo/aegira_zgpm_lockup_on_navy.png,"Outro/Logo; interner CTA"
